ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
3099;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4842;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4835;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4000;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4092;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4006;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4839;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4049;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4031;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4035;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4050;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4220;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4825;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4010;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4857;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4018;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4019;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4840;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4011;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4222;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4043;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4014;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4216;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4121;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4209;15667;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4830;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4842;15668;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4185;15668;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4835;15668;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4833;15668;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4100;15668;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4101;15668;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4219;15668;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4081;15668;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4045;15668;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4121;15668;18.01.2019;;;40;D+Z;;;бн;;;;;;;;;
4127;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4022;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4023;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4000;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4001;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4002;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4024;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4822;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4833;15669;18.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4209;15669;18.01.2019;;;500;D+Z;;;бн;;;;;;;;;
1897;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1455;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1678;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1679;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
1680;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
1681;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
1682;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
1683;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1684;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1685;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2554;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
2555;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
2556;15679;21.01.2019;;;15;D+Z;;;бн;;;;;;;;;
